Ano,Município,CaixasMultibanco,DepositosBancarios
2021,Porto Santo,9,110174
2021,Póvoa de Lanhoso,19,756760
2021,Póvoa de Varzim,70,2729280
2021,Povoação,8,404252
2021,Proença-a-Nova,6,338151
2021,Redondo,7,157182
2021,Reguengos de Monsaraz,14,401366
2021,Resende,10,283653
2021,Ribeira Brava,15,831392
2021,Ribeira de Pena,7,197560
2021,Ribeira Grande,31,473880
2021,Rio Maior,31,755081
2021,Sabrosa,5,157338
2021,Sabugal,18,809282
2021,Salvaterra de Magos,23,511332
2021,Santa Comba Dão,17,258989
2021,Santa Cruz,32,558526
2021,Santa Cruz da Graciosa,10,119556
2021,Santa Maria da Feira,99,3751404
2021,Santana,10,284622
2021,Santarém,86,2960372
2021,Santiago do Cacém,33,975375
2021,Santo Tirso,63,1754548
2021,São Brás de Alportel,11,511284
2021,São João da Madeira,43,2539299
2021,São João da Pesqueira,10,236936
2021,São Pedro do Sul,17,620606
2021,Sátão,9,385566
2021,Seia,25,1051792
2021,Seixal,119,3142373
2021,Sernancelhe,5,318284
2021,Serpa,14,430146
2021,Sertã,14,561956
2021,Sesimbra,52,1267322
2021,Setúbal,121,4660376
2021,Sever do Vouga,14,384304
2021,Silves,49,1210020
2021,Sines,25,668292
2021,Sintra,323,8611306
2021,Sobral de Monte Agraço,11,310651
2021,Soure,15,428852
2021,Sousel,6,137377
2021,Tábua,11,299633
2021,Tabuaço,5,170186
2021,Tarouca,6,290236
2021,Tavira,57,1311690
2021,Terras de Bouro,9,183682
2021,Tomar,42,1330053
2021,Tondela,30,1035390
2021,Torre de Moncorvo,8,370880
2021,Torres Novas,44,1210228
2021,Torres Vedras,86,4252418
2021,Trancoso,12,718443
2021,Trofa,39,1032356
2021,Vagos,29,1070514
2021,Vale de Cambra,26,937878
2021,Valença,16,826348
2021,Valongo,83,2468687
2021,Valpaços,13,809982
2021,Velas,12,166555
2021,Vendas Novas,16,525676
2021,Viana do Alentejo,8,126720
2021,Viana do Castelo,91,3960296
2021,Vidigueira,9,145950
2021,Vieira do Minho,17,507838
2021,Vila da Praia da Vitória,30,393924
2021,Vila do Bispo,19,158414
2021,Vila do Conde,81,1829736
2021,Vila do Porto,7,164112
2021,Vila Flor,6,179928
2021,Vila Franca de Xira,116,3781407
